Date ,Loc,Time,Net,Band size,Band ID,Species,Sex/method,Sexing method,Age,Method.Age.,wing,weight,bill,Recap?,Photo #,Molt,Notes
21/06/2018,IRL,2000,-,?,595-85409,Ciccaba virgata,M/mass,,A,,250,266.9,,N,9110-21,,Bat nets
21/06/2018,IRL,2000,-,?,666-97250,Ciccaba virgata,F/mass,,A,,245,329.8,,N,9135-43,,Bat nets
22/06/2018,TUR,1940,-,4,534-77534,Megascops watsonii,M/mass,,A,,170,119.3,,N,8991-94,"sym p10,9,1; s1,4",Bat nets
22/06/2018,TUR,1940,-,4,534-77531,Megascops watsonii,F/mass,,A,,183,143.7,,Y,8996-9001,"sym wing, light body",Bat nets
23/06/2018,TUR,605,10,1B,1B-025,Xiphorhynchus pardalotus,U,,A,,109,39.5,,Y,9019-20,sym wing,
23/06/2018,TUR,605,10,0A,0A-426,Myrmotherula menetriesii,F,,A,,54,-,,N,9016-18,Asym wing,
23/06/2018,TUR,605,11,1B,1B-212,Pithys albifrons,U,,A,,71,21.4,,N,9014-15,Asym wing,
23/06/2018,TUR,605,10,1B,1B-213,Saltator grossus,M,,A,,96,45.5,,N,9021-24,,
23/06/2018,TUR,605,6,0A,0A-321,Glyphorhynchus spirurus,U,,A,,73,14.5,,Y,9010-12,,
23/06/2018,TUR,605,6,0A,0A-325,Glyphorhynchus spirurus,U,,A,,68,14.9,,Y,9025-27,Asym wing,
23/06/2018,TUR,605,8,1,01-135,Thamnomanes caesius,M,,A,,67,15.3,,N,9008-09,sym wing,
23/06/2018,TUR,605,11,4,534-77535,Micrastur gilvicollis,U,,A,,175,,,N,9049-52,yes,
23/06/2018,TUR,710,10,0A,0A-427,Glyphorhynchus spirurus,U,,A,,74,14.8,,N,9029-31,sym wing,
23/06/2018,TUR,710,8,0A,0A-428,Epinecrophylla gutturalis,M,,A,,52,9.2,,N,9033-34,,
23/06/2018,TUR,830,6,1B,1B-214,Tachyphonus surinamus,U,,U,,79,19.6,,N,9053-55,sym wing,
23/06/2018,TUR,830,6,1B,1B-215,Tachyphonus surinamus,M,,A,,86,20,,N,9062-67,none,recap 27 June
23/06/2018,TUR,830,6,1B,1B-216,Tachyphonus surinamus,U,,U,,76,19.1,,N,-,none,F plumage; recap 27 June
23/06/2018,TUR,830,6,1B,1B-065,Tachyphonus surinamus,F,,A,,78,21.2,,Y,9056-57,sym p6 0.5,
23/06/2018,TUR,830,2,0A,0A-332,Myrmotherula longipennis,M,,A,,61,9.1,,Y,9076-78,none,
23/06/2018,TUR,830,1,0A,0A-429,Myrmotherula longipennis,U,,U,,54,8.3,,N,9060-61,none,
23/06/2018,TUR,830,8,0A,0A-430,Dixiphia pipra,U,,S,,68,13,,N,9071-72,,
23/06/2018,TUR,830,5,0A,0A-341,Glyphorhynchus spirurus,U,,A,,68,13.9,,Y,9068-70,,
23/06/2018,TUR,830,5,1,01-136,Thamnomanes caesius,M,,A,,72,16.3,,N,9073-75,,
23/06/2018,TUR,930,8,0A,0A-431,Dixiphia pipra,U,,S,,62,14.2,,N,9079-87,,
23/06/2018,TUR,1030,8,0,00-266,Dixiphia pipra,U,,S,,64,11.1,,N,9092-95,none,
23/06/2018,TUR,1030,8,0,00-267,Dixiphia pipra,U,,S,,66,13.4,,N,9096-98,none,
24/06/2018,TUR,605,9,0A,0A-432,Isleria guttata,F,,A,,50,10.8,,N,9103-07,sym p3 or p2,
24/06/2018,TUR,605,-,0A,0A-433,Myrmotherula longipennis,M,,A,,61,9.1,,N,9099-9101,Asym wing,
24/06/2018,TUR,605,1,1B,1B-217,Cyanocompsa cyanoides,F/BP,,A,,73,22.8,,N,9117-23,heavy body molt; sym wing,
24/06/2018,TUR,605,8,1B,1B-023,Willisornis poecilinotus,M,,A,,65,16.7,,Y,9108-11,sym p1; light body molt,
24/06/2018,TUR,605,16,1B,1B-218,Willisornis poecilinotus,M,,A,,66,18,,N,9112-16,body molt; no FF molt,
24/06/2018,TUR,605,11,1B,1B-219,unknown,U,,U,,64,16.1,,N,-,extensive tail molt,escaped before photos
24/06/2018,TUR,605,10,1B,1B-220,Pithys albifrons,U,,A,,69,19.5,,N,9124-27,sym wing,
24/06/2018,TUR,710,5,0A,0A-434,Myiopagis gaimardii,U,,A,,56,10.2,,N,9128-34,none,
24/06/2018,TUR,710,5,0A,0A-435,Myiopagis gaimardii,U,,A,,59,11.3,,N,9135-41,"light body molt, some tail",
24/06/2018,TUR,710,5,0,00-268,Dixiphia pipra,U,,S,,63,12.1,,N,9143-50,none,
24/06/2018,TUR,810,9,0A,0A-024,Glyphorhynchus spirurus,U,,A,,74,15.5,,Y,9155-59,heavy body molt,
24/06/2018,TUR,810,12,1B,1B-221,Formicarius colma,M,,A,,81,41.6,,N,9160-67,none,
24/06/2018,TUR,910,-,0A,0A-436,Glyphorhynchus spirurus,U,,A,,68,13.9,,N,9173-75,"light head molt, no FF molt",
24/06/2018,TUR,1115,14,0A,0A-437,Glyphorhynchus spirurus,U,,A,,70,14.1,,N,9176-78,,
25/06/2018,TUR,645,18,0A,0A-260,Dixiphia pipra,F,,A,,62,-,,Y,9258-71,none,euthanized
25/06/2018,TUR,745,5,0,00-269,Dixiphia pipra,F,,A,,62,11.6,,N,9273-77,none,
25/06/2018,TUR,745,1,1,01-137,Thamnomanes ardesiacus,F,,A,,71,18.9,,N,9278-84,trace body molt (back); no FF,
25/06/2018,TUR,745,15,1A,1A-063,Formicarius colma,F,,A,,80,44.6,,N,9285-92,"light body molt, no wing molt",
25/06/2018,TUR,845,2,0A,0A-438,Mionectes oleagineus,U,,A,,60,10.8,,N,9297-9300,sym p4 0.5; light body molt,
25/06/2018,TUR,845,1,0A,0A-439,Ceratopipra erythrocephala,U,,U,,55,13.3,,N,9301-08,,
25/06/2018,TUR,1040,11,0A,01-440,Mionectes macconnelli,U,,A,,63,12.7,,N,9309-14,trace body molt,
26/06/2018,TUR,1410,5,1D,1D-022,Chloroceryle inda,M,,A,,93,48.4,,N,9593-96,none,
26/06/2018,TUR,1430,23,0,00-270,Onychorhynchus coronatus,U,,A,,76,15.8,,N,9608-14,none,
26/06/2018,TUR,1430,12,0,00-271,Dixiphia pipra,U,,S,,64,10.5,,N,9633-37,none,
26/06/2018,TUR,1430,15,1B,1B-192,Gymnopithys rufigula,U,,A,,73,31.4,,Y,9638-43,"light body molt, sym p3 0.5, coverts",
26/06/2018,TUR,1535,23,4,534-77527,Micrastur gilvicollis,U,,A,,178,202,,Y,9644-57,"wing, tail, body",
26/06/2018,TUR,1535,12,0,00-272,Ceratopipra erythrocephala,U,,S,,55,12.3,,N,-,"trace body molt, no FF",forgot photos
26/06/2018,TUR,1535,18,0,00-273,Glyphorhynchus spirurus,U,,A,,69,15.4,,N,9658-61,heavy body molt; sym wing,recap 27 June
26/06/2018,TUR,1535,17,1B,1B-222,Galbula albirostris,U,,A,,72,20.2,,N,9662-68,"sym s3; no tail, no body",
26/06/2018,TUR,1535,17,1B,1B-223,Galbula albirostris,U,,A,,72,21.5,,N,9669-80,none,recap 27 June
26/06/2018,TUR,1645,5,0,00-274,Dixiphia pipra,F,,A,,62,11.4,,N,9682-86,none,
26/06/2018,TUR,1645,19,1B,1B-224,Pithys albifrons,U,,A,,70,22.4,,N,9692-94,none,
26/06/2018,TUR,1645,20,1,01-039,Willisornis poecilinotus,F,,A,,63,19,,Y,9687-91,brood patch present,
26/06/2018,TUR,1645,19,1,01-138,Willisornis poecilinotus,M,,A,,66,16.9,,N,9695-98,none,recap 27 June
26/06/2018,TUR,1645,10,0,00-275,Dixiphia pipra,U,,S,,62,12.8,,N,9700-01,none,
26/06/2018,TUR,1745,-,1A,1A-064,Cymbilaimus lineatus,M,,S,,70,40.9,,N,-,not assessed,photos on VJM phone
27/06/2018,TUR,605,8,1B,1B-225,Galbula albirostris,U,,A,,75,20.6,,N,9702-13,trace body molt; sym FF,
27/06/2018,TUR,605,16,1,01-139,Thamnomanes caesius,F,,A,,69,15.9,,N,9714-18,light body molt; p3R,
27/06/2018,TUR,800,8,0,00-276,Dixiphia pipra,U,,S,,62,12.6,,N,-,none,
27/06/2018,TUR,800,17,0,00-277,Dixiphia pipra,M,,A,,64,10.7,,N,9719-21,moderate body molt; sym FF,
27/06/2018,TUR,915,12,0A,0A-442,Platyrincus saturatus,M,,A,,60,11.7,,N,9724-31,none,
29/06/2018,LOG,600,4,1,01-082,Willisornis poecilinotus,M,,A,,65,17.5,,Y,-,none,photos?
29/06/2018,LOG,640,5,0,00-218,Isleria guttata,F,,A,,-,-,,Y,9877-79,,released due to rain
29/06/2018,LOG,730,7,0,00-278,Dixiphia pipra,F,,A,,66,13.1,,N,9880-82,none,recap 30 June
29/06/2018,LOG,845,5,0A,0A-219,Myrmotherula longipennis,M,,A,,64,8.5,,Y,9883-89,none,
29/06/2018,LOG,845,9,0,00-170,Dixiphia pipra,F,,A,,62,13.3,,N,9890-93,,
29/06/2018,LOG,845,10,1B,1B-226,Dendrocincla fuliginosa,U,,A,,109,40.3,,N,9894-9900,none,recap 30 June
29/06/2018,LOG,1000,3,0,00-279,Dixiphia pipra,M,,A,,61,10.7,,N,9905-09,none,
29/06/2018,LOG,1000,10,0,00-280,Mionectes macconnelli,U,,A,,65,12,,N,9901-04,,
29/06/2018,LOG,1000,9,1,01-140,Thamnomanes ardesiacus,U,,S,,71,17.2,,N,9915-18,moderate body molt,most of tail lost in net; recap 3 July
29/06/2018,LOG,1000,9,1B,1B-227,Xiphorhynchus pardalotus,U,,A,,105,37.4,,N,9910-14,none,
29/06/2018,LOG,1100,9,0A,0A-206,Platyrincus saturatus,F,,A,,55,9,,Y,-,not assessed,escaped after weighing
29/06/2018,LOG,1100,8,0A,0A-443,Mionectes macconnelli,U,,A,,62,12.4,,N,9919-28,none,
29/06/2018,LOG,1130,1,4,534-77536,Crypturellus variegatus,U,,A,,164,394.3,,N,9945-61,wing molt,
30/06/2018,LOG,615,7,0A,0A-354,Platyrincus saturatus,M,,A,,56,11.6,,Y,9962-67,none,
30/06/2018,LOG,720,1,1B,1B-228,Gymnopithys rufigula,U,,A,,72,41.9,,N,9968-72,"light body molt, sym FF",
30/06/2018,LOG,800,7,0,00-151,Platyrincus saturatus,M,,A,,-,-,,Y,-,not assessed,released due to rain
30/06/2018,LOG,1040,14,0,00-287,Mionectes macconnelli,U,,A,,64,13.2,,N,9986-90,"heavy body molt, no wing",
01/07/2018,LOG,600,1,1,01-141,Willisornis poecilinotus,F,,A,,65,17.4,,N,10168-71,"moderate body, no FF",
01/07/2018,LOG,600,4,0A,0A-444,Myrmotherula menetriesii,F,,A,,52,9.6,,N,10148-53,"light body, no FF",
01/07/2018,LOG,600,14,1,00-251,Thamnomanes ardesiacus,M,,A,,75,19.3,,Y,10162-66,none,recap 3 July
01/07/2018,LOG,600,19,3B,3B-009,Geotrygon montana,M,,A,,132,132.3,,N,10154-61,"sym FF, no body",
01/07/2018,LOG,650,1,0A,0A-441,Glyphorhynchus spirurus,F/BP,,A,,67,15,,N,10172-75,none,
