Date,Site,open,close,nets
22/06/2014,CWW,1100,1415,17
23/06/2014,CWW,900,1610,17
24/06/2014,CWW,645,1800,17
25/06/2014,CWW,615,1700,17
26/06/2014,CWW,600,1530,17
29/06/2014,KAB,1130,1800,16
30/06/2014,KAB,600,1730,16
01/07/2014,KAB,600,1500,16
02/07/2014,KAB,600,1635,14
03/07/2014,KAB,600,1500,16
04/07/2014,KAB,530,1800,18
05/07/2014,KAB,530,1530,18
08/07/2014,SUP,530,1730,19
09/07/2014,SUP,600,1730,19
10/07/2014,SUP,800,1730,19
11/07/2014,SUP,530,1800,19
12/07/2014,SUP,530,1730,17
20/07/2014,TUR,530,1800,18
21/07/2014,TUR,530,1730,18
22/07/2014,TUR,830,1730,18
23/07/2014,TUR,530,1730,18
24/07/2014,TUR,530,1730,18
25/07/2014,TUR,530,1430,18
28/07/2014,ROL,530,1730,18
29/07/2014,ROL,530,1730,18
30/07/2014,ROL,530,1430,18
04/08/2014,SAN,530,1730,17
05/08/2014,SAN,600,1730,17
06/08/2014,SAN,530,1430,17
07/08/2014,SAN,530,1430,17
25/06/2017,TUR,1520,1750,12
25/06/2017,TUR,750,1200,12
26/06/2017,TUR,550,1120,12
27/06/2017,TUR,1420,1615,15
27/06/2017,TUR,550,1150,15
28/06/2017,TUR,600,1200,15
30/06/2017,LOG,610,1135,10
01/07/2017,LOG,605,1130,15
02/07/2017,LOG,610,950,15
03/07/2017,LOG,545,1152,16
04/07/2017,LOG,540,1130,16
06/07/2017,ROL,540,1135,10
07/07/2017,ROL,545,1150,16
08/07/2017,ROL,550,1205,16
11/07/2017,SAN,535,1050,8
12/07/2017,SAN,540,1045,15
13/07/2017,SAN,545,1130,16
14/07/2017,SAN,950,1330,16
21/07/2017,KAB,550,1130,8
22/07/2017,KAB,1030,1305,16
23/07/2017,KAB,540,1030,16
25/07/2017,CWW,540,1140,8
26/07/2017,CWW,530,1130,16
27/07/2017,CWW,540,1145,15
23/06/2018,TUR,528,1133,10
24/06/2018,TUR,538,1140,15
25/06/2018,TUR,612,1150,15
26/06/2018,TUR,1353,1707,15
27/06/2018,TUR,525,1117,15
29/06/2018,LOG,533,1142,10
30/06/2018,LOG,545,1137,14
01/07/2018,LOG,525,1142,16
02/07/2018,LOG,1051,1530,16
03/07/2018,LOG,540,1118,16
06/07/2018,ROL,532,1140,12
07/07/2018,ROL,533,1129,16
08/07/2018,ROL,543,800,16
09/07/2018,ROL,534,908,16
11/07/2018,SAN,528,1131,10
12/07/2018,SAN,532,1131,16
13/07/2018,SAN,531,1140,16
14/07/2018,SAN,531,1125,16
20/07/2018,KAB,534,1147,8
21/07/2018,KAB,543,1128,16
22/07/2018,KAB,534,1134,16
23/07/2018,KAB,542,845,16
26/07/2018,CWW,537,1140,11
27/07/2018,CWW,613,1245,15
28/07/2018,CWW,605,1210,15
29/07/2018,CWW,835,1150,16
20/06/2015,TUR,530,1150,15
21/06/2015,TUR,540,1550,15
22/06/2015,TUR,540,1550,15
22/06/2015,TUR,1200,1540,2
22/06/2015,TUR,1330,1540,1
23/06/2015,TUR,530,1530,18
24/06/2015,TUR,530,1530,18
25/06/2015,TUR,530,1200,18
27/06/2015,KAB,540,1440,12
28/06/2015,KAB,530,1230,12
29/06/2015,KAB,530,1545,18
30/06/2015,KAB,530,1530,18
01/07/2015,KAB,530,1200,18
05/07/2015,SAN,530,1215,12
06/07/2015,SAN,530,1430,15
07/07/2015,SAN,630,1450,18
08/07/2015,SAN,530,1600,18
09/07/2015,SAN,530,1200,18
12/07/2015,ROL,530,1130,12
13/07/2015,ROL,530,1530,16
14/07/2015,ROL,530,1115,18
14/07/2015,ROL,1430,1730,18
15/07/2015,ROL,530,1115,18
16/07/2015,ROL,800,1130,18
18/07/2015,CHA,1230,1545,12
19/07/2015,CHA,530,1130,12
20/07/2015,CHA,1230,1500,12
21/07/2015,CHA,530,1600,14
22/07/2015,CHA,530,1530,18
23/07/2015,CHA,530,1030,18
25/07/2015,LOG,1020,1535,12
26/07/2015,LOG,530,1130,12
27/07/2015,LOG,530,1600,12
27/07/2015,LOG,1300,1600,1
28/07/2015,LOG,530,1600,16
29/07/2015,LOG,530,1600,18
30/07/2015,LOG,530,1200,18
01/08/2015,CWW,530,1230,12
02/08/2015,CWW,530,1230,15
03/08/2015,CWW,545,1500,15
04/08/2015,CWW,530,1500,15
05/08/2015,CWW,530,1200,18
25/06/2016,KAB,530,1150,12
26/06/2016,KAB,530,1200,12
27/06/2016,KAB,530,1210,12
28/06/2016,KAB,545,1245,15
29/06/2016,KAB,625,1410,15
01/07/2016,TUR,525,1200,11
01/07/2016,TUR,525,1100,1
02/07/2016,TUR,535,1220,12
03/07/2016,TUR,530,1215,14
05/07/2016,TUR,530,1220,14
06/07/2016,TUR,540,1115,14
08/07/2016,LOG,535,1220,8
09/07/2016,LOG,535,1150,12
10/07/2016,LOG,540,1140,13
11/07/2016,LOG,535,1155,13
12/07/2016,LOG,535,1145,15
16/07/2016,ROL,530,1130,12
17/07/2016,ROL,535,1155,12
18/07/2016,ROL,540,1215,14
19/07/2016,ROL,540,1215,14
20/07/2016,ROL,540,1155,11
23/07/2016,SAN,540,1120,8
24/07/2016,SAN,545,1015,10
25/07/2016,SAN,545,1100,13
27/07/2016,SAN,550,1140,13
30/07/2016,CWW,600,1100,8
31/07/2016,CWW,600,1115,10
01/08/2016,CWW,550,1150,10
02/08/2016,CWW,550,1145,15
03/08/2016,CWW,550,1150,15
